"","timeslot","colony","treatment","similarity","target_color","target_concentration","companion_color","companion_concentration","species","total_visitation","flowertype","number_individuals","relative_target_visitation","date","start_time_of_experiment","temp_at_start_of_experiment","comments","id","attractiveness","condition","patch1","hex_distance"
"908",7,"3","3","Similar","orange",10,"yellow","40","stingless",6,"target",1,0.166666666666667,"2025-02-03","10:20",26,"","3_3","high","high_Similar","orange",0.1086285
"909",6,"3","3","Similar","orange",10,"yellow","40","stingless",10,"target",1,0.1,"2025-02-03","10:20",26,"","3_3","high","high_Similar","orange",0.1086285
"910",5,"3","3","Similar","orange",10,"yellow","40","stingless",11,"target",3,0.272727272727273,"2025-02-03","10:20",26,"","3_3","high","high_Similar","orange",0.1086285
"911",4,"3","3","Similar","orange",10,"yellow","40","stingless",7,"target",2,0.285714285714286,"2025-02-03","10:20",26,"","3_3","high","high_Similar","orange",0.1086285
"912",3,"3","3","Similar","orange",10,"yellow","40","stingless",13,"target",4,0.307692307692308,"2025-02-03","10:20",26," ","3_3","high","high_Similar","orange",0.1086285
"913",2,"3","3","Similar","orange",10,"yellow","40","stingless",9,"target",2,0.222222222222222,"2025-02-03","10:20",26,"","3_3","high","high_Similar","orange",0.1086285
"914",1,"3","3","Similar","orange",10,"yellow","40","stingless",8,"target",3,0.375,"2025-02-03","10:20",26,"","3_3","high","high_Similar","orange",0.1086285
"915",12,"6","5","control","orange",10,"orange","10","stingless",14,"target",7,1,"2025-02-06","12:25",26,"","6_5","control","control_control",NA,0
"916",11,"6","5","control","orange",10,"orange","10","stingless",20,"target",10,1,"2025-02-06","12:25",26,"","6_5","control","control_control",NA,0
"917",10,"6","5","control","orange",10,"orange","10","stingless",18,"target",9,1,"2025-02-06","12:25",26,"","6_5","control","control_control",NA,0
"918",9,"6","5","control","orange",10,"orange","10","stingless",16,"target",8,1,"2025-02-06","12:25",26,"","6_5","control","control_control",NA,0
"919",8,"6","5","control","orange",10,"orange","10","stingless",15,"target",8,1,"2025-02-06","12:25",26,"","6_5","control","control_control",NA,0
"920",7,"6","5","control","orange",10,"orange","10","stingless",23,"target",12,1,"2025-02-06","12:25",26,"","6_5","control","control_control",NA,0
"921",6,"6","5","control","orange",10,"orange","10","stingless",26,"target",13,1,"2025-02-06","12:25",26,"","6_5","control","control_control",NA,0
"922",5,"6","5","control","orange",10,"orange","10","stingless",14,"target",7,1,"2025-02-06","12:25",26,"","6_5","control","control_control",NA,0
"923",4,"6","5","control","orange",10,"orange","10","stingless",15,"target",8,1,"2025-02-06","12:25",26,"","6_5","control","control_control",NA,0
"924",2,"6","5","control","orange",10,"orange","10","stingless",17,"target",8,1,"2025-02-06","12:25",26,"","6_5","control","control_control",NA,0
"925",3,"6","5","control","orange",10,"orange","10","stingless",14,"target",7,1,"2025-02-06","12:25",26,"","6_5","control","control_control",NA,0
"926",1,"6","5","control","orange",10,"orange","10","stingless",20,"target",10,1,"2025-02-06","12:25",26,"","6_5","control","control_control",NA,0
"927",1,"3","2","Dissimilar","orange",10,"light_blue","20","stingless",1,"target",0,0,"2025-02-06","10:12",26,"wrong sign in video, is indeed col 3, not 6","3_2","low","low_Dissimilar","orange",0.23553903
"928",12,"4","4","Similar","orange",10,"red","20","stingless",20,"target",9,0.45,"2025-02-06","10:07",25,"","4_4","low","low_Similar","orange",0.20124656
"929",11,"4","4","Similar","orange",10,"red","20","stingless",22,"target",10,0.454545454545455,"2025-02-06","10:07",25,"","4_4","low","low_Similar","orange",0.20124656
"930",12,"3","4","Similar","orange",10,"red","20","stingless",24,"target",14,0.583333333333333,"2025-02-05","10:10",26,"","3_4","low","low_Similar","orange",0.20124656
"931",11,"3","4","Similar","orange",10,"red","20","stingless",19,"target",12,0.631578947368421,"2025-02-05","10:10",26,"","3_4","low","low_Similar","orange",0.20124656
"932",10,"3","4","Similar","orange",10,"red","20","stingless",13,"target",8,0.615384615384615,"2025-02-05","10:10",26,"","3_4","low","low_Similar","orange",0.20124656
"933",9,"3","4","Similar","orange",10,"red","20","stingless",19,"target",13,0.684210526315789,"2025-02-06","10:10",26," ","3_4","low","low_Similar","orange",0.20124656
"934",8,"3","4","Similar","orange",10,"red","20","stingless",11,"target",6,0.545454545454545,"2025-02-05","10:10",26,"","3_4","low","low_Similar","orange",0.20124656
"935",6,"3","4","Similar","orange",10,"red","20","stingless",10,"target",5,0.5,"2025-02-05","10:10",26,"","3_4","low","low_Similar","orange",0.20124656
"936",7,"3","4","Similar","orange",10,"red","20","stingless",13,"target",9,0.692307692307692,"2025-02-05","10:10",26,"","3_4","low","low_Similar","orange",0.20124656
"937",5,"3","4","Similar","orange",10,"red","20","stingless",13,"target",6,0.461538461538462,"2025-02-05","10:10",26,"","3_4","low","low_Similar","orange",0.20124656
"938",4,"3","4","Similar","orange",10,"red","20","stingless",10,"target",5,0.5,"2025-02-05","10:10",26,"","3_4","low","low_Similar","orange",0.20124656
"939",3,"3","4","Similar","orange",10,"red","20","stingless",9,"target",4,0.444444444444444,"2025-02-05","10:10",26,"","3_4","low","low_Similar","orange",0.20124656
"940",2,"3","4","Similar","orange",10,"red","20","stingless",5,"target",2,0.4,"2025-02-05","10:10",26,"","3_4","low","low_Similar","orange",0.20124656
"941",1,"3","4","Similar","orange",10,"red","20","stingless",4,"target",2,0.5,"2025-02-05","10:10",26,"","3_4","low","low_Similar","orange",0.20124656
"942",12,"7","5","control","orange",10,"orange","10","stingless",18,"target",9,1,"2025-02-06","10:07",25,"","7_5","control","control_control",NA,0
"943",12,"5","4","Similar","orange",10,"red","20","stingless",36,"target",17,0.472222222222222,"2025-02-06","10:10",25,"","5_4","low","low_Similar","orange",0.20124656
"944",12,"3","2","Dissimilar","orange",10,"light_blue","20","stingless",10,"target",2,0.2,"2025-02-06","12:12",26,"Lots of ants!","3_2","low","low_Dissimilar","orange",0.23553903
"945",10,"4","4","Similar","orange",10,"red","20","stingless",22,"target",9,0.409090909090909,"2025-02-06","10:07",25,"","4_4","low","low_Similar","orange",0.20124656
"946",9,"4","4","Similar","orange",10,"red","20","stingless",26,"target",15,0.576923076923077,"2025-02-06","10:07",25,"","4_4","low","low_Similar","orange",0.20124656
"947",11,"3","2","Dissimilar","orange",10,"light_blue","20","stingless",14,"target",2,0.142857142857143,"2025-02-06","10:12",26,"","3_2","low","low_Dissimilar","orange",0.23553903
"948",11,"5","4","Similar","orange",10,"red","20","stingless",46,"target",17,0.369565217391304,"2025-02-06","10:10",25,"","5_4","low","low_Similar","orange",0.20124656
"949",11,"7","5","control","orange",10,"orange","10","stingless",22,"target",11,1,"2025-02-06","10:02",25,"","7_5","control","control_control",NA,0
"950",10,"7","5","control","orange",10,"orange","10","stingless",21,"target",10,1,"2025-02-06","10:07",25,"","7_5","control","control_control",NA,0
"951",10,"5","4","Similar","orange",10,"red","20","stingless",35,"target",16,0.457142857142857,"2025-02-06","10:10",25,"","5_4","low","low_Similar","orange",0.20124656
