"","timeslot","colony","treatment","similarity","target_color","target_concentration","companion_color","companion_concentration","species","total_visitation","flowertype","number_individuals","relative_target_visitation","date","start_time_of_experiment","temp_at_start_of_experiment","comments","id","attractiveness"
"79",7,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",4,"companion",2,0.5,"2025-02-26","10:00",23,"","12_2","low"
"80",7,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",4,"companion",0,0.5,"2025-02-26","10:00",23,"","12_2","low"
"81",4,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",1,"target",1,1,"2025-02-26","10:00",23,"","12_2","low"
"82",4,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",1,"target",0,1,"2025-02-26","10:00",23,"","12_2","low"
"83",4,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",1,"companion",0,1,"2025-02-26","10:00",23,"","12_2","low"
"84",4,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",1,"companion",0,1,"2025-02-26","10:00",23,"","12_2","low"
"85",5,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",2,"target",1,0.5,"2025-02-26","10:00",23,"","12_2","low"
"86",5,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",2,"target",0,0.5,"2025-02-26","10:00",23,"","12_2","low"
"87",5,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",2,"companion",1,0.5,"2025-02-26","10:00",23,"","12_2","low"
"88",5,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",2,"companion",0,0.5,"2025-02-26","10:00",23,"","12_2","low"
"89",6,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",3,"target",0,0,"2025-02-26","10:00",23,"","12_2","low"
"90",6,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",3,"target",0,0,"2025-02-26","10:00",23,"","12_2","low"
"91",6,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",3,"companion",3,0,"2025-02-26","10:00",23,"","12_2","low"
"92",6,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",3,"companion",0,0,"2025-02-26","10:00",23,"","12_2","low"
"93",3,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",1,"target",1,1,"2025-02-26","10:00",23,"","12_2","low"
"94",3,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",1,"target",0,1,"2025-02-26","10:00",23,"","12_2","low"
"95",3,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",1,"companion",0,1,"2025-02-26","10:00",23,"","12_2","low"
"96",3,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",1,"companion",0,1,"2025-02-26","10:00",23,"","12_2","low"
"97",2,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",0,"target",0,NA,"2025-02-26","10:00",23,"","12_2","low"
"98",2,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",0,"target",0,NA,"2025-02-26","10:00",23,"","12_2","low"
"99",2,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",0,"companion",0,NA,"2025-02-26","10:00",23,"","12_2","low"
"100",2,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",0,"companion",0,NA,"2025-02-26","10:00",23,"","12_2","low"
"101",1,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",0,"target",0,NA,"2025-02-26","10:00",23,"","12_2","low"
"102",1,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",0,"target",0,NA,"2025-02-26","10:00",23,"","12_2","low"
"103",1,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",0,"companion",0,NA,"2025-02-26","10:00",23,"","12_2","low"
"104",1,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",0,"companion",0,NA,"2025-02-26","10:00",23,"","12_2","low"
"105",12,"12","3","Similar","orange",10,"yellow","40","stingless",3,"target",1,0.333333333333333,"2025-02-25","13:47",24,"","12_3","high"
"106",12,"12","3","Similar","orange",10,"yellow","40","honeybee",3,"target",0,0.333333333333333,"2025-02-25","13:47",24,"","12_3","high"
"107",12,"12","3","Similar","orange",10,"yellow","40","stingless",3,"companion",2,0.333333333333333,"2025-02-25","13:47",24,"","12_3","high"
"108",12,"12","3","Similar","orange",10,"yellow","40","honeybee",3,"companion",1,0.333333333333333,"2025-02-25","13:47",24,"","12_3","high"
"109",11,"12","3","Similar","orange",10,"yellow","40","stingless",4,"target",1,0.25,"2025-02-25","13:47",24,"","12_3","high"
"110",11,"12","3","Similar","orange",10,"yellow","40","honeybee",4,"target",0,0.25,"2025-02-25","13:47",24,"","12_3","high"
"111",11,"12","3","Similar","orange",10,"yellow","40","stingless",4,"companion",3,0.25,"2025-02-25","13:47",24,"","12_3","high"
"112",11,"12","3","Similar","orange",10,"yellow","40","honeybee",4,"companion",1,0.25,"2025-02-25","13:47",24,"","12_3","high"
"113",10,"12","3","Similar","orange",10,"yellow","40","stingless",5,"target",2,0.4,"2025-02-25","13:47",24,"","12_3","high"
"114",10,"12","3","Similar","orange",10,"yellow","40","honeybee",5,"target",0,0.4,"2025-02-25","13:47",24,"","12_3","high"
"115",10,"12","3","Similar","orange",10,"yellow","40","stingless",5,"companion",3,0.4,"2025-02-25","13:47",24,"","12_3","high"
"116",10,"12","3","Similar","orange",10,"yellow","40","honeybee",5,"companion",1,0.4,"2025-02-25","13:47",24,"","12_3","high"
"117",9,"12","3","Similar","orange",10,"yellow","40","stingless",4,"target",1,0.25,"2025-02-25","13:47",24,"","12_3","high"
"118",9,"12","3","Similar","orange",10,"yellow","40","honeybee",4,"target",0,0.25,"2025-02-25","13:47",24,"","12_3","high"
"119",9,"12","3","Similar","orange",10,"yellow","40","stingless",4,"companion",3,0.25,"2025-02-25","13:47",24,"","12_3","high"
"120",9,"12","3","Similar","orange",10,"yellow","40","honeybee",4,"companion",0,0.25,"2025-02-25","13:47",24,"","12_3","high"
"121",8,"12","3","Similar","orange",10,"yellow","40","stingless",4,"target",1,0.25,"2025-02-25","13:47",24,"","12_3","high"
"122",8,"12","3","Similar","orange",10,"yellow","40","honeybee",4,"target",0,0.25,"2025-02-25","13:47",24,"","12_3","high"
"123",8,"12","3","Similar","orange",10,"yellow","40","stingless",4,"companion",3,0.25,"2025-02-25","13:47",24,"","12_3","high"
"124",8,"12","3","Similar","orange",10,"yellow","40","honeybee",4,"companion",0,0.25,"2025-02-25","13:47",24,"","12_3","high"
"125",7,"12","3","Similar","orange",10,"yellow","40","stingless",7,"target",2,0.285714285714286,"2025-02-25","13:47",24,"","12_3","high"
"126",7,"12","3","Similar","orange",10,"yellow","40","honeybee",7,"target",0,0.285714285714286,"2025-02-25","13:47",24,"","12_3","high"
"127",7,"12","3","Similar","orange",10,"yellow","40","stingless",7,"companion",5,0.285714285714286,"2025-02-25","13:47",24,"","12_3","high"
"128",7,"12","3","Similar","orange",10,"yellow","40","honeybee",7,"companion",0,0.285714285714286,"2025-02-25","13:47",24,"","12_3","high"
"129",6,"12","3","Similar","orange",10,"yellow","40","stingless",5,"target",1,0.2,"2025-02-25","13:47",24,"","12_3","high"
"130",6,"12","3","Similar","orange",10,"yellow","40","honeybee",5,"target",0,0.2,"2025-02-25","13:47",24,"","12_3","high"
"131",6,"12","3","Similar","orange",10,"yellow","40","stingless",5,"companion",4,0.2,"2025-02-25","13:47",24,"","12_3","high"
"132",6,"12","3","Similar","orange",10,"yellow","40","honeybee",5,"companion",0,0.2,"2025-02-25","13:47",24,"","12_3","high"
"133",5,"12","3","Similar","orange",10,"yellow","40","stingless",5,"target",1,0.2,"2025-02-25","13:47",24,"","12_3","high"
"134",5,"12","3","Similar","orange",10,"yellow","40","honeybee",5,"target",0,0.2,"2025-02-25","13:47",24,"","12_3","high"
"135",5,"12","3","Similar","orange",10,"yellow","40","stingless",5,"companion",4,0.2,"2025-02-25","13:47",24,"","12_3","high"
"136",5,"12","3","Similar","orange",10,"yellow","40","honeybee",5,"companion",1,0.2,"2025-02-25","13:47",24,"","12_3","high"
"137",4,"12","3","Similar","orange",10,"yellow","40","stingless",1,"target",0,0,"2025-02-25","13:47",24,"","12_3","high"
"138",4,"12","3","Similar","orange",10,"yellow","40","honeybee",1,"target",0,0,"2025-02-25","13:47",24,"","12_3","high"
"139",4,"12","3","Similar","orange",10,"yellow","40","stingless",1,"companion",1,0,"2025-02-25","13:47",24,"","12_3","high"
"140",4,"12","3","Similar","orange",10,"yellow","40","honeybee",1,"companion",1,0,"2025-02-25","13:47",24,"","12_3","high"
"141",3,"12","3","Similar","orange",10,"yellow","40","stingless",0,"target",0,NA,"2025-02-25","13:47",24,"","12_3","high"
"142",3,"12","3","Similar","orange",10,"yellow","40","honeybee",0,"target",0,NA,"2025-02-25","13:47",24,"","12_3","high"
"143",3,"12","3","Similar","orange",10,"yellow","40","stingless",0,"companion",0,NA,"2025-02-25","13:47",24,"","12_3","high"
"144",3,"12","3","Similar","orange",10,"yellow","40","honeybee",0,"companion",0,NA,"2025-02-25","13:47",24,"","12_3","high"
"145",2,"12","3","Similar","orange",10,"yellow","40","stingless",1,"target",0,0,"2025-02-25","13:47",24,"","12_3","high"
"146",2,"12","3","Similar","orange",10,"yellow","40","honeybee",1,"target",0,0,"2025-02-25","13:47",24,"","12_3","high"
"147",2,"12","3","Similar","orange",10,"yellow","40","stingless",1,"companion",1,0,"2025-02-25","13:47",24,"","12_3","high"
"148",2,"12","3","Similar","orange",10,"yellow","40","honeybee",1,"companion",0,0,"2025-02-25","13:47",24,"","12_3","high"
"149",1,"12","3","Similar","orange",10,"yellow","40","stingless",0,"target",0,NA,"2025-02-25","13:47",24,"","12_3","high"
"150",1,"12","3","Similar","orange",10,"yellow","40","honeybee",0,"target",0,NA,"2025-02-25","13:47",24,"","12_3","high"
"151",1,"12","3","Similar","orange",10,"yellow","40","stingless",0,"companion",0,NA,"2025-02-25","13:47",24,"","12_3","high"
"152",1,"12","3","Similar","orange",10,"yellow","40","honeybee",0,"companion",0,NA,"2025-02-25","13:47",24,"","12_3","high"
"153",12,"13","5","control","orange",10,"orange","10","stingless",5,"target",2,1,"2025-02-26","12:17",26,"","13_5","control"
"154",12,"13","5","control","orange",10,"orange","10","honeybee",5,"target",0,1,"2025-02-26","12:17",26,"","13_5","control"
